contact_id,user_id,first_name,last_name,email,phone,residence,company,birthday,added_date,friendship_score,relationship_context
32,5,Clayson,Ickovits,cickovitsv@springer.com,998-401-0432,Diriá,Edgeblab,6/14/99,4/25/25,0.6,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
33,1,Harry,Hinchshaw,hhinchshaww@geocities.jp,625-248-1960,Sumberan,Zooxo,11/13/02,4/24/25,2.2,Sed accumsan felis.
34,8,Marna,Springthorp,mspringthorpx@imageshack.us,503-851-3205,Coronel,Dabvine,1/16/72,4/21/25,6.8,Aenean sit amet justo.
35,6,Katinka,Dreghorn,kdreghorny@virginia.edu,913-951-9438,Qiandong,Latz,2/16/90,4/23/25,0.2,Vivamus in felis eu sapien cursus vestibulum.
36,4,Brock,Ivanitsa,bivanitsaz@ovh.net,818-900-0557,Dois Córregos,BlogXS,12/6/86,4/23/25,1.0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
37,3,Aubrey,Vicarey,avicarey10@nasa.gov,567-810-4461,Dongjie,Browseblab,4/6/52,4/25/25,5.0,Aliquam erat volutpat.
38,2,Gustavus,Bever,gbever11@weibo.com,702-192-4344,Konstantinovsk,Eare,6/26/99,4/20/25,1.3,Nulla tellus.
39,2,Wolfgang,Peter,wpeter12@privacy.gov.au,404-655-7696,Gimcheon,Topicshots,7/12/65,4/25/25,7.8,Nullam porttitor lacus at turpis.
40,2,Davon,Bygreaves,dbygreaves13@mapquest.com,544-962-6793,Kishorganj,Jatri,3/26/70,4/22/25,7.9,Integer a nibh.
41,5,Victor,Adrienne,vadrienne14@sphinn.com,807-490-4410,Babice,Linktype,7/27/64,4/25/25,1.1,Morbi non quam nec dui luctus rutrum.
42,4,Constantia,Edridge,cedridge15@4shared.com,112-336-4165,Pleven,Quimm,10/20/58,4/23/25,5.7,In hac habitasse platea dictumst.
43,10,Annabelle,Rushmere,arushmere16@census.gov,246-608-9468,Nanto-shi,Jabbercube,2/1/58,4/25/25,5.6,In quis justo.
44,1,Lorelle,Wearn,lwearn17@un.org,118-308-9383,Kuma,Devcast,3/30/53,4/21/25,6.7,Integer tincidunt ante vel ipsum.
45,1,Bernadine,Fallon,bfallon18@ow.ly,264-771-3454,Caracal,Livefish,7/10/64,4/21/25,7.8,Ut at dolor quis odio consequat varius.
46,4,Merrill,Oldroyde,moldroyde19@google.com.au,567-966-8930,Taznakht,Zoonder,2/14/68,4/22/25,8.2,Maecenas rhoncus aliquam lacus.
47,11,Arin,De-Ville,adeville1a@dmoz.org,343-179-3263,Kototujuh,Meetz,12/10/57,4/20/25,8.2,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
48,6,Wandis,Machon,wmachon1b@census.gov,311-960-8587,Pulosari,Edgeclub,11/21/67,4/25/25,4.1,Donec quis orci eget orci vehicula condimentum.
49,7,Doralyn,MacKay,dmackay1c@jigsy.com,947-917-1243,Borzęta,Myworks,6/28/74,4/24/25,3.4,Duis mattis egestas metus.
50,7,Tami,Mariaud,tmariaud1d@diigo.com,402-557-2658,Omaha,Wikivu,5/24/86,4/22/25,9.6,Proin at turpis a pede posuere nonummy.
